ID,Type,Speaker,Text,English,Next,Extra,FaceType,Voice
1,Dialogue,雅,啊，是你呀。,,2,,Smile,
2,Dialogue,埃吉尔,唔。。。。。。你干嘛自己就进来了。,,3,,Unhappy,
3,Dialogue,雅,我只是想看看。。。。。,,4,,Daze,
4,Dialogue,埃吉尔,随便跑到别人家，可恶的龙。,,5,,Angry,
5,Dialogue,雅,别这么说我，我只是想和你交朋友，为什么对我这个态度啊。,,6,,Unhappy,
6,Dialogue,埃吉尔,你们外族总是杀戮，你提着剑就闯进来想来你也是一类家伙吧！,,7,,Angry,
7,Dialogue,—,雅尔的兔子跑过来闻闻埃吉尔。,,8,,,
8,Dialogue,埃吉尔,唔。。。。。。,,9,,Unhappy,
9,Dialogue,—,埃吉尔红着脸强装愤怒不时的撇向兔子。,,10,,,
10,Dialogue,雅,。。。。。。,,11,,Daze,
11,Dialogue,埃吉尔,我也知道有些东西可恶至极确实该死，如果你只是杀了坏家伙那我还可以宽恕你！,,12,,Angry,
12,Dialogue,雅,我只打死过怪物喔。,,13,,Smile,
13,Dialogue,埃吉尔,真的吗，那，你要帮我忙，帮了我我就和你做朋友。,,14,,Smile,
14,Dialogue,雅,什么事。,,15,,Surprised,
15,Dialogue,埃吉尔,最近村子外有很多虫子，虫子咬坏了我很多百合花，太可恶了，你帮我每天清理掉10个虫子。,,16,,Angry,
16,Choice,埃吉尔,,,END|17,我还有事|我会努力的,,
17,Dialogue,雅,我会努力的！,,,,Smile,
