ID,Type,Speaker,Text,English,Next,Extra,FaceType,Voice
1,Dialogue,雅,啊，是你呀。,,2,,Surprised,
2,Dialogue,埃吉尔,唔。。。。。。你干嘛自己就进来了啊。,,3,,,
3,Dialogue,雅,我只是想看看。。。。。,,4,,Sad,
4,Dialogue,埃吉尔,随便跑到别人家，可恶的龙。,,5,,,
5,Dialogue,雅,别这么说我，我只是想和你交朋友，为什么对我这个态度啊。,,6,,Sad,
6,Dialogue,埃吉尔,你们外族总是杀戮，你提着剑就闯进来想来你也是一类家伙吧！,,7,,,
7,Dialogue,雅,。。。。。。,,8,,Unhappy,
8,Dialogue,埃吉尔,我也知道有些东西可恶至极确实该死，如果你只是杀了坏家伙那我还可以宽恕你！,,9,,,
9,Dialogue,雅,我只打死过怪物喔。,,10,,Daze,
10,Dialogue,埃吉尔,真的吗，那，你要帮我忙，帮了我我就和你做朋友。,,11,,,
11,Dialogue,雅,什么事。,,12,,Smile,
12,Dialogue,埃吉尔,最近村子外有很多虫子，虫子咬坏了我很多百合花，太可恶了，你帮我每天清理掉10个虫子。,,13,,,
13,Dialogue,雅,我会努力的！,,,,Smile,
