ID,Type,Speaker,Text,English,Next,Extra,FaceType,Voice,BodyType
1,Dialogue,店,身为公主怎么会出门不带钱呢？,,2,,Face2,,Normal
2,Dialogue,雅,钱的话我还是有带的。。。,,3,,Daze,,
3,Dialogue,—,雅尔把钱放在桌上，那是一把贝壳和一堆零零散散的发光物。,,4,,,,,
4,Dialogue,店,这。。。。这是哪门子的钱？！,,5,,Face4,,Normal
5,Dialogue,雅,诶？我们那边都是用这个的。,,6,,VerySurprised,,
6,Dialogue,店,根本是一堆破烂嘛！,,7,,Face4,,Normal
7,Dialogue,雅,才不是破烂，可以买很多东西的！,,8,,Unhappy,,
8,Dialogue,雅,我妈妈说要是太爱财会没人要的！,,9,,Unhappy,,
9,Dialogue,店,啊嗯？！,,10,,Face4,,Normal
10,Dialogue,店,你说谁没人要～？！,,11,,Face5,,Red
11,Dialogue,雅,唔！,,,,Surprised,,
