ID,Type,Speaker,Text,English,Next,Extra,FaceType,Voice,BodyType
1,Dialogue,店,说起来，看你的穿着也不像小户人家出身，怎么会没带钱,,2,,Face1,,Normal
2,Dialogue,雅,钱的话我还是有带的。。。,,3,,Smug,,
3,Dialogue,雅,雅尔把钱放在桌上，那是一把贝壳和一堆零零散散的发光物。,,4,,Smug,,
4,Dialogue,店,这。。。。这是哪门子的钱？！,,5,,Face4,,Normal
5,Dialogue,雅,诶？我们那边都是用这个的。,,6,,ChiBie,,
6,Dialogue,店,根本是一堆破烂嘛！,,7,,Face4,,Normal
7,Dialogue,雅,才不是破烂，可以买很多东西的！,,8,,Angry,,
8,Dialogue,雅,我妈妈说要是太爱财会没人要的！,,9,,Angry,,
9,Dialogue,店,啊嗯？！,,10,,Face5,,YinXian
10,Dialogue,店,你说谁没人要～？！,,11,,Face5,,YinXian
11,Dialogue,雅,唔！,,,,ChiBie,,
