ID,Type,Speaker,Text,English,Next,Extra,FaceType,Voice,BodyType
1,Dialogue,雅,这里是？,,2,,Surprised,,
2,Dialogue,店,欢迎啊，咦？生面孔？,,3,,Face1,,
3,Dialogue,店,这村子好多年没见过旅客了，真稀奇。,,4,,Face1,,
4,Dialogue,雅,哇，好漂亮的精灵。,,5,,Surprised,,
5,Dialogue,店,嗯~？,,6,,Face2,,
6,Dialogue,店,即便你嘴甜，我可是不会轻易打折的~,,7,,Face2,,
7,Dialogue,雅,打折？什么事啊。,,8,,Surprised,,
8,Dialogue,店,古莎，你这是带回来了一个什么啊，连这个都不懂吗。,,9,,Face4,,
9,Dialogue,古,啊哈哈哈。。。。雅尔她是这个店的店长，艾米丽斯。,,10,,ForcedSmile,,
10,Dialogue,店,这里是道具屋，售卖跌打损伤药和精力补充剂。,,11,,Face4,,
11,Dialogue,雅,原来是这样。,,12,,ChiBie,,
12,Dialogue,店,唉呀，古莎，你带回来一个麻烦呢。,,13,,Face4,,
13,Dialogue,店,看样子是个哪家出来的大小姐，不懂人情世故呢。,,14,,Face4,,
14,Dialogue,古,她救了我，丽斯不要这么说她。,,15,,Angry,,
15,Dialogue,古,你要是再多嘴我可要生气了。,,16,,Angry,,
16,Dialogue,店,好吧好吧~至少在这里生活也算给我添了个顾客，大小姐~肯定很有钱吧~~,,17,,Face2,,
17,Dialogue,雅,钱？,,18,,ChiBie,,
18,Dialogue,店,是啊，就是那种圆圆的，闪着金光的，这世界上最美的东西~,,19,,Face3,,
19,Dialogue,店,肯定带了不少吧~,,20,,Face3,,
20,Dialogue,雅,我一个都没有。,,21,,ChiBie,,
21,Dialogue,店,什么？！没有钱！,,22,,Face4,,
22,Dialogue,古,丽斯……你贪婪的样子一览无余啊……,,23,,Daze,,
23,Dialogue,店,没有钱我可是不会给你东西的！,,24,,Face4,,
24,Dialogue,店,就算是古莎的朋友也没门！,,25,,Face4,,
25,Dialogue,雅,唔……,,26,,ChiBie,,
26,Dialogue,古,别这么说嘛……你也不是很缺钱的，雅尔救过我，就算看在我面子上嘛……,,27,,Daze,,
27,Dialogue,店,嗯……如果非要这么说……,,28,,Face2,,
28,Dialogue,店,店里最近做药剂缺少很多原材料。,,29,,Face1,,
29,Dialogue,店,如果你在野外收集到掉落物，可以和我这里换钱。,,30,,Face1,,
30,Dialogue,店,这样你就有钱买东西了。,,31,,Face1,,
31,Dialogue,店,这可是我第一次这么做，看在古莎的面子上！,,32,,Face1,,
32,Dialogue,古,好呀，丽斯，我就知道你最好了~,,33,,Laugh,,
33,Dialogue,古,（这不是最后还是把钱收回去了吗……）,,34,,ForcedSmile,,
34,Dialogue,店,不过代价嘛~~~,,35,,Face2,,Red
35,Dialogue,店,（撇了一眼古莎的胸部）,,36,,Face2,,Red
36,Dialogue,古,诶诶诶诶？,,37,,VerySurprised,,
37,Dialogue,店,古莎好像最近又变大了，一会来我楼上让我确认确认~~~~,,38,,Face2,,Red
38,Dialogue,古,诶诶诶诶！！！！！！！！！！！？？？？？？？,,39,,VerySurprised,,
39,Dialogue,店,那么就这么决定了~~,,40,,Face1,,Red
40,Dialogue,店,有材料的话就带过来吧。,,41,,Face1,,Red
41,Dialogue,店,需要什么就看货架~,,42,,Face1,,Red
42,Dialogue,雅,好~,,43,,Laugh,,
43,Dialogue,店,那我们就去忙啦~,,44,,Face2,,Red
44,Dialogue,店,（古莎被拖上二楼）,,45,,Face2,,Red
45,Dialogue,古,诶诶诶！？？我可从来没听说要这么交易啊！！！！雅尔！！！,,46,,Cry,,
46,Dialogue,雅,我会在楼下等你的！,,47,,Laugh,,
47,Dialogue,店,嘿嘿嘿……今天要好好确认一下你这只大奶牛~~~,,,,Face2,,Red
