ID,Type,Speaker,Text,English,Next,Extra,FaceType,Voice,,
1,Dialogue,雅,好漂亮的村子。,,2,,Laugh,,,
2,Dialogue,古,雅儿一定是第一次来吧，一会带你逛一逛村子。,,3,,Smile,,,
3,Dialogue,雅,我挺好奇的。,,4,,Smile,,,
4,Dialogue,古,什么事?,,5,,Normal,,,
5,Dialogue,雅,你头上的那个角没看到别的精灵有。,,6,,Smile,,,
6,Dialogue,古,啊哈哈哈。。。。这个嘛。。。。是天生的。,,7,,Laugh,,,
7,Dialogue,雅,它和我的角差不多吗?,,8,,Smile,,,
8,Dialogue,古,雅尔角会动吗，我的还能动呢。,,9,,Happy,,,
9,Dialogue,雅,好神奇！再来一次！,,10,,Laugh,,,
10,Dialogue,古,嗯~~,,11,,Daze,,,
11,Dialogue,雅,哇！还能有别的样子吗？,,12,,VerySurprised,,,
12,Dialogue,古,我不是街头艺人没有那么多花样啦！,,13,,ForcedSmile,,,
13,Dialogue,雅,那我作为回礼，也给你表演一下。,,14,,Smile,,,
14,Dialogue,古,你的角看上去不像是会动的。,,15,,Normal,,,
15,Dialogue,雅,不是角，是我头上的小翅膀。,,16,,Smile,,,
16,Dialogue,古,真可爱~,,17,,Happy,,,
17,Dialogue,雅,呼呼~~~,,18,,Laugh,,,
18,Dialogue,古,雅尔是因为什么事出门远行呢？,,19,,Normal,,,
19,Dialogue,雅,啊。。。。这个嘛。。。。,,20,,ChiBie,,,
20,Dialogue,古,公主应该是不出户才对吧。,,21,,Smile,,,
21,Dialogue,雅,本来确实是这样，出了一点小事。。。。,,22,,Sad,,,
22,Dialogue,古,一定是很重要的事吧！关切人民？建交外邦？,,23,,Happy,,,
23,Dialogue,雅,找打碎装饰品的材料。,,24,,Unhappy,,,
24,Dialogue,古,啊。。。。。。,,25,,Surprised,,,
25,Dialogue,古,那也一定是很重要的装饰品吧！,,26,,Smile,,,
26,Dialogue,雅,看父亲那个猴急的样子应该是吧。,,27,,Unhappy,,,
27,Dialogue,古,果然是大事！,,28,,Happy,,,
28,Dialogue,雅,说起来，艾米艾丽刚才说的那个事是什么？,,29,,Smile,,,
29,Dialogue,古,这个我也知道的不多，那是村长一直叨念的一个传说，大概就是将来会有女神降临。,,30,,Normal,,,
30,Dialogue,雅,原来是这样，她们当真了吧。,,31,,Smile,,,
31,Dialogue,古,周遭越来越不安全了，她们也希望能早点恢复到以前的样子。,,32,,Sad,,,
32,Dialogue,雅,这个村子好像人不是很多的样子。,,33,,Smile,,,
33,Dialogue,古,这是村西，村东和村北人会多些。我们以前不是只有这一个村子的人。,,34,,Normal,,,
34,Dialogue,雅,因为那场战争吗。,,35,,Sad,,,
35,Dialogue,古,嗯，以前魔法森林那边都是我们的领地，族长还在的时候，大家都会聚在那里朝拜仪式。,,36,,Sad,,,
36,Dialogue,雅,族长呢？,,37,,Smile,,,
37,Dialogue,古,在那年战死了。,,38,,Sad,,,
38,Dialogue,雅,。。。。。。,,39,,Sad,,,
39,Dialogue,古,我们剩下的人不足以占据那么大的地方，于是决定收缩领地把残余的族人集结到此生活。,,40,,Normal,,,
40,Dialogue,古,这个村的村长就是大家目前的领袖，也是这里很有资历的人了。,,41,,Normal,,,
41,Dialogue,古,听说她年轻的时候和族长那一群人一起来到这片土地的。,,42,,Normal,,,
42,Dialogue,古,后来不知道什么原因两人起了争执，村长就不再跟随他们，与其他同样意愿的人建设了这个最初的小村子。,,43,,Normal,,,
43,Dialogue,古,后来的事，雅尔应该能猜到了。,,44,,Normal,,,
44,Dialogue,雅,将来有一天一定要让那帮家伙付出代价。,,45,,Unhappy,,,
45,Dialogue,古,我只希望能不再有战争了。,,46,,Sad,,,
46,Dialogue,雅,凯说过，魔族的侵略不会停止，我们必须战斗到底。,,47,,Unhappy,,,
47,Dialogue,古,凯是谁？,,48,,Surprised,,,
48,Dialogue,雅,我们的骑士团团长。,,49,,Smile,,,
49,Dialogue,古,他一定杀了很多魔族吧。,,50,,Normal,,,
50,Dialogue,雅,嗯，那年我和妹妹差点死在侵略军手里，是他把我们救了下来。,,51,,Sad,,,
51,Dialogue,古,。。。。。。,,52,,Daze,,,
52,Dialogue,雅,古莎？,,53,,Surprised,,,
53,Dialogue,古,啊。快到村长家门口了。,,54,,Smile,,,
54,Dialogue,古,路尽头那个巨树就是了。,,,,Smile,,,
