ID,Type,Speaker,Text,English,Next,Extra,FaceType
1,Dialogue,古,啊，雅尔你来啦~,,2,,Smile
2,Dialogue,艾米,雅尔！来这边坐！,,3,,Normal
3,Dialogue,雅,好香啊，我饿坏了，今天吃什么？,,4,,Smile
4,Dialogue,艾莉,龙姐姐。。。。。。饿了。。。。,,5,,CloseEyes
5,Dialogue,雅,嗯？,,6,,Surprised
6,Dialogue,古,大家快坐好~今天有客人，晚饭要更丰盛~,,7,,Happy
7,Dialogue,古,蘑菇浓汤，炒平菇，香煎平菇，酱烧香菇，奶油口蘑，松姆炒滑菇，史莱姆核拌藤秆。,,8,,Smile
8,Dialogue,雅,除了最后那个怪怪的，别的感觉很棒啊。,,9,,Laugh
9,Dialogue,艾米,耶~,,10,,Normal
10,Dialogue,村,呵呵呵，真是好多年都没这么热闹了，多一个人就热闹一分啊。,,11,,Smile
11,Dialogue,村,不用客气，就当是自己家就好。,,12,,Smile
12,Dialogue,雅,嗯真香~,,13,,Laugh
13,Dialogue,古,雅尔我喂你吃这个~,,14,,Happy
14,Dialogue,雅,啊~~,,15,,Surprised
15,Dialogue,雅,唔姆真~好~好吃~~,,16,,Laugh
16,Dialogue,艾莉,龙姐姐知道预言的事了吗？,,17,,Normal
17,Dialogue,雅,啊，刚才忘了问了。,,18,,ChiBie
18,Dialogue,村,是说那个女神降临的事吧。,,19,,Normal
19,Dialogue,艾莉,奶奶你一直叨念这个，雅尔不是正如你口中的那个形象一般吗。,,20,,Normal
20,Dialogue,雅,我怎么能是女神呢，我们族里确实有一位战争女神的传说，但那也是传说，没人真的见过她。,,21,,Smile
21,Dialogue,雅,村长不妨讲讲那个预言吧。,,22,,Smile
22,Dialogue,村,那就借这个机会，当一个故事听听吧。,,23,,Normal
23,Dialogue,村,那是我年轻时候的事了。,,24,,CloseEyes
24,Dialogue,村,九十多年前，我在一个偏远的森林里生活。,,25,,CloseEyes
25,Dialogue,村,那时候身边的人都相信世间万物是神的安排。,,26,,CloseEyes
26,Dialogue,村,我们每个月都要去圣泉祈祷，祈祷神给自己的人生安排的美满周全。,,27,,CloseEyes
27,Dialogue,村,也是稀松平常的一天，但那天我在圣泉里看到了。,,28,,CloseEyes
28,Dialogue,村,一段文字。,,29,,Normal
29,Dialogue,村,我以为是我眼花了，我趴在地上仔细看了又看。,,30,,Normal
30,Dialogue,村,确实是文字，一段我没见过的文字，发着光。,,31,,Normal
31,Dialogue,村,我惊呼，赶忙找来了附近的人一起来看，大伙都很诧异，一致认为是神的旨意。,,32,,Normal
32,Dialogue,村,当时的精灵里最博学的老者前来解读，发现是一段预示。,,33,,Normal
33,Dialogue,村,老者说是非常古老的语言，可以追溯至精灵诞生之初。,,34,,Normal
34,Dialogue,村,那批古老的精灵通过不为人知的方法预测了千百年后的未来。,,35,,CloseEyes
35,Dialogue,村,"预示写着,这片古老的大地上将争端不断，血与火会持续百年，生灵饱受折磨，能阻断这罪孽的轮回只有一人，一位身着白袍的龙族女神将会降临大地，解放这片土地上的生命。",,36,,CloseEyes
36,Dialogue,村,我们看后认为这个预示有些虚无缥缈，因为那时候还没有魔族。,,37,,CloseEyes
37,Dialogue,村,战争对于那时候的我们来讲有些天方夜谭。,,38,,CloseEyes
38,Dialogue,村,很多人当时是不相信的，直到第一批魔族来到这片森林后。,,39,,Sad
39,Dialogue,村,我们意识到了事情的严重性，我们没有武器，没有军队。,,40,,Sad
40,Dialogue,村,面对外族的暴行，我们束手无策只能举家逃离。,,41,,Sad
41,Dialogue,村,那是我们第一次感觉到战争临近的可以多么突然。,,42,,Sad
42,Dialogue,村,后来我们一路上四处安家，直到部落里终于有一个人提议要反击。,,43,,Normal
43,Dialogue,村,雄性们开始武装自己，一些雌性也加入其中，而这个提议的人就是后来的精灵族长。,,44,,Normal
44,Dialogue,村,就这样，德勒瓦大陆的精灵部落最早的样貌在那时诞生了，也就是我们的前身。,,45,,Normal
45,Dialogue,村,我们一路打拼，一路逃到东岸，本以为穷途末路。,,46,,Normal
46,Dialogue,村,天上一道白光，覆盖了追杀我们的魔族。,,47,,Normal
47,Dialogue,村,我在刺眼的白光中隐约看到了一个长有翅膀的人，可我看不清她的脸。,,48,,Normal
48,Dialogue,村,当白光消去，留在地上的只有魔族的残迹。,,49,,Normal
49,Dialogue,村,而那人影也不知所踪。,,50,,Normal
50,Dialogue,村,当时所有人都认为是神的天罚拯救了我们，但我认为那不是神，至少不是我们供奉的那个神，我们的神没有翅膀。,,51,,Normal
51,Dialogue,村,我把我的所见告诉同胞，他们嗤之以鼻，反说我亵渎神的拯救，我告诉族长，族长也对我不满，我害怕被驱逐就不再提了。,,52,,Normal
52,Dialogue,村,又过了很多年，发生了很多事，龙族飞来了，兽族也出现了，人类也带着军队占据了一方，魔族一直在四处劫掠。,,53,,Normal
53,Dialogue,村,这片大陆也正如预言那样纷争不断，再也没有我当年年轻时的祥和，每一天都有流血与死亡。,,54,,Normal
54,Dialogue,村,多年后的今天，我见到了你，雅尔。,,55,,Smile
55,Dialogue,村,你就和预言上的那个描述很相似。,,56,,Smile
56,Dialogue,村,龙族，白袍，女神，也许就是你。,,57,,Smile
57,Dialogue,雅,虽然前两个吻合，但也许是巧合。。。。。。 我这个样子怎么能成为女神呢。。。。,,58,,ChiBie
58,Dialogue,村,也许只是时机没到。,,59,,Smile
59,Dialogue,艾米,雅尔要对自己有信心，如果奶奶觉得你是那大概就是真的，她说话从来都很准的。,,60,,Normal
60,Dialogue,雅,。。。。。。。 可我出门只是为了找寻修复材料，连目的都不一样，怎么会是呢。。。。,,61,,ChiBie
61,Dialogue,雅,我其实没有过要拯救大地的想法。。。。,,62,,ChiBie
62,Dialogue,雅,我觉得我只是个普通的龙。,,63,,Unhappy
63,Dialogue,古,怎么会普通呢，你明明一个人就能打赢那么大的一个树怪，普通的龙应该很难做到吧。,,64,,Smile
64,Dialogue,雅,那种事，我们的骑士团的战士们应该也能做到，我在家里都打不过一个骑士团的战士。,,65,,Unhappy
65,Dialogue,雅,上次和凯打架，我还被压在地上弹脑门，疼死了。,,66,,Unhappy
66,Dialogue,艾米,那一定很好玩！,,67,,Normal
67,Dialogue,雅,才不好玩！我现在就让你试试！,,68,,Unhappy
68,Dialogue,雅,就像这样！,,69,,Smug
69,Dialogue,艾米,呜啊啊啊啊！疼疼疼！,,70,,Scared
70,Dialogue,村,吼吼吼吼~~快别闹了。,,71,,Laugh
71,Dialogue,村,预言的事就到这里结束了，只是大家都期待那个女神的降临太久，看到了一丝希望后，不愿轻易放弃。,,72,,Smile
72,Dialogue,村,你也别太往心里去，就当是闲言碎语就行了。,,73,,Smile
73,Dialogue,古,天要黑了，雅尔一会我送你回去吧。,,74,,Normal
74,Dialogue,雅,好~,,,,Smile
