ID,Type,Speaker,Text,English,Next,Extra,FaceType
1,Dialogue,村,哎哟，你看我也没怎么收拾，实在是不怎么得体，见谅啊。,,2,,Face1
2,Dialogue,雅,我也是突然到访。,,3,,Smile
3,Dialogue,村,是什么事出门啊。,,4,,Face1
4,Dialogue,雅,有点难为情。。。。。。其实就是打碎了一个装饰品。,,5,,GanGa
5,Dialogue,雅,我父亲挺珍惜那个石头，叫我出门找修复材料。,,6,,GanGa
6,Dialogue,村,是不是一块蓝色的？,,7,,Face1
7,Dialogue,雅,是啊。,,8,,Smile
8,Dialogue,村,呵呵，那可不是个普通的装饰品。,,9,,Face3
9,Dialogue,村,那是你父亲当年和你母亲定情后，精灵族用魔法森林里的魔石打造的信物送给那对新人的。,,10,,Face3
10,Dialogue,村,你父亲珍视它是必然的。,,11,,Face3
11,Dialogue,雅,啊。。。。。他从未跟我提起过。。。。。,,12,,Sad
12,Dialogue,雅,要是知道我就。。。。。。,,13,,Sad
13,Dialogue,村,别懊悔了，我猜你应该是找起源之石吧。,,14,,Face3
14,Dialogue,雅,对!就是这个。,,15,,Surprised
15,Dialogue,村,这个东西所在之地想必你父亲应该是跟你讲了，肯定没那么容易得到了。,,16,,Face2
16,Dialogue,雅,他说是魔族的东西，但被盗窃了，不知道在谁那。,,17,,Surprised
17,Dialogue,雅,让我先前往人类的城市打听下落。,,18,,Surprised
18,Dialogue,村,要去人类城市的话，得经过我们村子南边的小路，但那条路早年为了防御敌人被堵死了。,,19,,Face1
19,Dialogue,村,现在只能通过北面的小路绕行。,,20,,Face1
20,Dialogue,雅,原来是这样，那我这就出发了。,,21,,Smile
21,Dialogue,村,别急我还没说完。,,22,,Face1
22,Dialogue,村,北边的路之前的暴雨导致一些树，山石滑落，也阻塞了，清理需要些日子。,,23,,Face1
23,Dialogue,村,从北面出发，你要途径一段深林，抵达我们曾经的领地莫尔法斯。,,24,,Face1
24,Dialogue,村,那里已经荒废了多年，想必怪物一定占据了。,,25,,Face1
25,Dialogue,村,莫尔法斯再往南走就是朝人类领地前进了。,,26,,Face1
26,Dialogue,雅,没有其他的路了吗？我想赶紧回去照顾夏尔，她见不到我会很难过。,,27,,Surprised
27,Dialogue,村,没有了，那场战争后我们几乎阻断和外界的联系。,,28,,Face2
28,Dialogue,雅,那要等多久呢？,,29,,Surprised
29,Dialogue,村,我们男丁不多，大多是老弱妇孺，前两天又有人受伤了，可能还得半个月。,,30,,Face2
30,Dialogue,雅,半个月啊。。。。。。,,31,,Daze
31,Dialogue,村,孩子，你刚刚经历过战斗，多少也知道了这外面的危险。,,32,,Face1
32,Dialogue,村,急于求成可能会毁了一切。,,33,,Face1
33,Dialogue,村,看你的衣服都破了。,,34,,Face1
34,Dialogue,村,我这里有针线包，一会帮你把衣服补一补。,,35,,Face1
35,Dialogue,村,古莎，这些天就带雅尔在村里住下。,,36,,Face3
36,Dialogue,村,村东面那个是我以前的旧屋子，打扫打扫先安置在那边吧。,,37,,Face3
37,Dialogue,古,好。,,38,,Happy
38,Dialogue,古,雅尔我们去吧。,,39,,Happy
39,Dialogue,雅,嗯。,,,,Smile
