ID,Type,Speaker,Text,English,Next,Extra,FaceType
1,Dialogue,古,奶奶。,,2,,Happy
2,Dialogue,村,古莎，路上还平安吗。,,3,,Face3
3,Dialogue,古,啊。。。。。今天有些意外。,,4,,Awkward
4,Dialogue,村,唉。,,5,,Face2
5,Dialogue,村,最近村子周遭越来越不安全了。,,6,,Face1
6,Dialogue,村,你们出村还是得带着武器才好。,,7,,Face1
7,Dialogue,村,明天我给你一把武器防身。,,8,,Face1
8,Dialogue,古,谢谢奶奶。,,9,,Happy
9,Dialogue,村,这位是？,,10,,Face1
10,Dialogue,古,对了，这是从龙族领地来的客人。,,11,,Laugh
11,Dialogue,古,路上的危险就是她帮我脱离的。,,12,,Laugh
12,Dialogue,雅,村长好，我是雅尔。,,13,,Smile
13,Dialogue,古,雅尔是公主呢~,,14,,Laugh
14,Dialogue,雅,嘿嘿嘿。。。。。。,,15,,Smug
15,Dialogue,村,。。。。。。,,16,,Face1
16,Dialogue,古,村长？,,17,,Normal
17,Dialogue,村,哎哟，这可真是。。。。。。,,18,,Face1
18,Dialogue,村,多少年没见了。,,19,,Face1
19,Dialogue,村,那年你母亲抱着襁褓中的你我还记得。,,20,,Face1
20,Dialogue,村,这一眨眼。。。。。。,,21,,Face1
21,Dialogue,村,真是岁月不饶人啊。,,22,,Face1
22,Dialogue,雅,！,,23,,NanGuo
23,Dialogue,雅,您见过我的母亲吗？！,,24,,NanGuo
24,Dialogue,雅,战争后也见过吗？！,,25,,NanGuo
25,Dialogue,古,雅尔？,,26,,Normal
26,Dialogue,村,当年你母亲生下你的时候，邀请过精灵族去赴宴。,,27,,Face2
27,Dialogue,村,我只是那时候有幸抱过你。,,28,,Face1
28,Dialogue,村,再后来局势紧张，我们都在准备抵御敌人的侵略。,,29,,Face1
29,Dialogue,村,那以后就再没有听过她的消息了，直到你今天来。。。。。,,30,,Face1
30,Dialogue,村,我才又一次见到龙族的人。,,31,,Face1
31,Dialogue,雅,。。。。。。,,32,,NanGuo2
32,Dialogue,村,她。。。。怎么了吗？,,33,,Face1
33,Dialogue,雅,那场战争后，母亲失踪了。,,34,,NanGuo2
34,Dialogue,雅,她一个人留在宫殿里阻挡敌人，把我和妹妹托付给了团长。,,35,,NanGuo2
35,Dialogue,雅,之后就再也不知所踪。,,36,,NanGuo2
36,Dialogue,村,居然还发生了这样的事。,,37,,Face1
37,Dialogue,村,那一年魔族从东岸的突然出现让我们始料未及。,,38,,Face1
38,Dialogue,村,确实，那一片区域属于精灵管辖范围，但兵力当时分散在各地。,,39,,Face2
39,Dialogue,村,魔族的集中出现迅速冲破了我们的防守，一时间无法组织起有效的阵线。,,40,,Face2
40,Dialogue,村,多少人都死在那天晚上。,,41,,Face2
41,Dialogue,村,每当我想起那些事。。。。。。,,42,,Face2
42,Dialogue,雅,。。。。。。,,43,,NanGuo2
43,Dialogue,村,唉。,,44,,Face2
44,Dialogue,村,不说那些了，都过去了。,,45,,Face1
45,Dialogue,古,雅尔别难过，她一定会平安的。,,46,,Happy
46,Dialogue,雅,真的会吗。。。。。。,,47,,NanGuo2
47,Dialogue,古,你想，你母亲是龙族有身份的人，肯定不会轻易杀死的。,,48,,Normal
48,Dialogue,雅,嗯！,,49,,Smile
49,Dialogue,村,别在门口站着了，快进屋坐坐吧。,,,,Face1
