ID,Type,Speaker,Text,English,Next,Extra,FaceType,Voice
1,Dialogue,雅,好大的一片田。,,2,,Surprised,
2,Dialogue,老人,没见过你，你从哪来？,,3,,,
3,Dialogue,雅,我是途径此地的，暂时住在这里。,,4,,Smile,
4,Dialogue,老人,好多年没见过生面孔了。,,5,,,
5,Dialogue,老人,唉。。。。。。,,6,,,
6,Dialogue,雅,村里的很多人都愁眉苦脸的。,,7,,Smile,
7,Dialogue,老人,有的失去了亲人，有的担忧未来。,,8,,,
8,Dialogue,雅,那你呢？,,9,,Sad,
9,Dialogue,老人,我就是干累了，腰疼。,,10,,,
10,Dialogue,雅,啊哈哈哈哈。。。。。。,,11,,Daze,
11,Dialogue,老人,你有时间吗？,,12,,,
12,Dialogue,雅,嗯？,,13,,Smile,
13,Dialogue,老人,我想也许你能帮我点忙。,,14,,,
14,Dialogue,雅,什么事？,,15,,Smile,
15,Dialogue,老人,我要去水井打水，有点远，我老伴走的早，你能帮我打几桶水浇地吗。,,,,,
